2403,ECE,210,1,LOGIC DESIGNÊ,MWF,11:00am-11:50am,DA101,65 of 65,0 of 5,"Welch, KÊ",3,BELKNAP,,
,,,,Note:ÊThis section has been changed.,,,,,,,,,,
2404,ECE,211,1,LOGIC DESIGN LABORATORY,W,03:00pm-05:30pm,WS210,16 of 16,1 of 5,"Welch, KÊ",1,BELKNAP,,
7614,ECE,211,2,LOGIC DESIGN LABORATORY,M,03:00pm-05:30pm,WS210,16 of 16,2 of 5,"Welch, KÊ",1,BELKNAP,,
8602,ECE,211,3,LOGIC DESIGN LABORATORYÊ,F,03:00pm-05:30pm,WS210,16 of 16,4 of 5,"Welch, KÊ",1,BELKNAP,,
,,,,Note:ÊThis section has been added.,,,,,,,,,,
8603,ECE,211,4,LOGIC DESIGN LABORATORYÊ,T,03:00pm-05:30pm,WS210,16 of 16,3 of 5,"Welch, KÊ",1,BELKNAP,,
,,,,Note:ÊThis section has been added.,,,,,,,,,,
2405,ECE,220,1,NETWORK ANALYSIS IÊ,MWF,09:00am-09:50am,WS106,13 of 35,0 of 5,"Welch, KÊ",3,BELKNAP,,
,,,,Note:ÊThis section is restricted to students with a major in the department.,,,,,,,,,,
2406,ECE,221,1,NETWORK ANALYSIS I LABÊ,Th,02:30pm-05:00pm,WS204,3 of 16,0 of 5,"Welch, KÊ",1,BELKNAP,,
,,,,Note:ÊThis section is restricted to students with a major in the department.,,,,,,,,,,
7615,ECE,221,2,NETWORK ANALYSIS I LAB,T,02:30pm-05:00pm,WS204,10 of 15,0 of 3,"Welch, KÊ",1,BELKNAP,,
2407,ECE,252,1,INTRO ELECTRICAL ENGN,MWF,10:00am-10:50am,WS002,40 of 40,5 of 5,"Cleaver, TÊ",3,BELKNAP,,
2504,ECE,252,2,INTRO ELECTRICAL ENGN,MWF,01:00pm-01:50pm,WS002,40 of 40,5 of 5,"Cleaver, TÊ",3,BELKNAP,,
2408,ECE,288,1,ECE CO-OP EDUC SEMINAR,T,12:30pm-01:20pm,EH103,12 of 50,0 of 5,"Gray, EÊ",0,BELKNAP,,
,,,,,,,,,,"Gerstle, JÊ",,,,
2409,ECE,289,1,ECE CO-OP EDUC I,,TBA,TBA,25 of 50,0 of 5,"Gray, EÊ",2,OTHER,,
,,,,,,,,,,"Gerstle, JÊ",,,,
2410,ECE,389,1,ECE CO-OP EDUC II,,TBA,TBA,5 of 50,0 of 5,"Gray, EÊ",2,OTHER,,
,,,,,,,,,,"Gerstle, JÊ",,,,
2411,ECE,412,1,INTRO EMBEDDED SYSTEMS,TTh,09:30am-10:45am,JS203,35 of 70,0 of 5,"Harnett, CÊ",3,BELKNAP,,
2412,ECE,420,1,SIGNALS & LINEAR SYSTEMS,TTh,01:00pm-02:15pm,LU321,37 of 40,0 of 5,"Amini, AÊ",3,BELKNAP,,
2413,ECE,473,1,INTRO TO EM FIELDS&WAVES,TTh,08:00am-09:15am,EH215,48 of 48,1 of 5,"Harnett, CÊ",3,BELKNAP,,
